vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount,pickup_datetime1,pickup_datetime2,pickup_date,dropoff_datetime1,dropoff_datetime2,dropoff_date,pickup_time,dropoff_time
VTS,6/1/2014 20:16,6/1/2014 20:50,1,5.8699999,-73.994011,40.728935,1,,-73.988548,40.671967,CRD,24,0.5,0.5,0,0,25,6/1/2014,20:16:00,19875,6/1/2014,20:50:00,19875,20:16:00,20:50:00
VTS,6/1/2014 20:16,6/1/2014 20:20,1,0.75999999,-73.958496,40.7756,1,,-73.96537,40.766136,CSH,5.5,0.5,0.5,0,0,6.5,6/1/2014,20:16:00,19875,6/1/2014,20:20:00,19875,20:16:00,20:20:00
VTS,6/1/2014 22:40,6/1/2014 22:46,1,1.22,-73.963249,40.762177,1,,-73.953178,40.768032,CSH,6.5,0.5,0.5,0,0,7.5,6/1/2014,22:40:00,19875,6/1/2014,22:46:00,19875,22:40:00,22:46:00
VTS,6/1/2014 20:16,6/1/2014 20:26,1,2.3599999,-73.967918,40.755299,1,,-73.9916,40.727341,CRD,9.5,0.5,0.5,2,0,12.5,6/1/2014,20:16:00,19875,6/1/2014,20:26:00,19875,20:16:00,20:26:00
CMT,6/1/2014 19:56,6/1/2014 19:59,1,0.89999998,-73.963867,40.765125,1,N,-73.960999,40.775826,CRD,5,0,0.5,1.65,0,7.1500001,6/1/2014,19:56:38,19875,6/1/2014,19:59:35,19875,19:56:38,19:59:35
VTS,6/1/2014 17:44,6/1/2014 18:03,3,5.7399998,-73.97438,40.793674,1,,-73.929359,40.850296,CRD,20,0,0.5,5,0,25.5,6/1/2014,17:44:00,19875,6/1/2014,18:03:00,19875,17:44:00,18:03:00
VTS,6/1/2014 20:16,6/1/2014 20:19,1,0.58999997,-73.954399,40.777737,1,,-73.946548,40.779797,CRD,4.5,0.5,0.5,1,0,6.5,6/1/2014,20:16:00,19875,6/1/2014,20:19:00,19875,20:16:00,20:19:00
VTS,6/1/2014 20:36,6/1/2014 21:01,5,4.75,-73.988785,40.725216,1,,-73.948311,40.68272,UNK,20,0.5,0.5,4.0999999,0,26.09,6/1/2014,20:36:00,19875,6/1/2014,21:01:00,19875,20:36:00,21:01:00
VTS,6/1/2014 20:36,6/1/2014 20:48,1,2.3299999,0,0,1,,0,0,CSH,10.5,0.5,0.5,0,0,11.5,6/1/2014,20:36:00,19875,6/1/2014,20:48:00,19875,20:36:00,20:48:00
CMT,6/1/2014 0:55,6/1/2014 1:07,1,3.0999999,-73.980522,40.742653,1,N,-73.989464,40.716805,CSH,12.5,0.5,0.5,0,0,13.5,6/1/2014,0:55:10,19875,6/1/2014,1:07:52,19875,0:55:10,1:07:52
CMT,6/1/2014 10:26,6/1/2014 10:30,1,0.80000001,-74.003906,40.753021,1,N,-73.998749,40.745998,CRD,5,0,0.5,1,0,6.5,6/1/2014,10:26:48,19875,6/1/2014,10:30:37,19875,10:26:48,10:30:37
VTS,6/1/2014 20:16,6/1/2014 20:23,3,1.92,-73.999214,40.754391,1,,-73.982162,40.777962,CSH,8,0.5,0.5,0,0,9,6/1/2014,20:16:00,19875,6/1/2014,20:23:00,19875,20:16:00,20:23:00
VTS,6/1/2014 19:38,6/1/2014 19:54,3,4.5300002,-74.008095,40.738842,1,,-73.955215,40.764809,CRD,16.5,0,0.5,3.3,0,20.299999,6/1/2014,19:38:00,19875,6/1/2014,19:54:00,19875,19:38:00,19:54:00
CMT,6/1/2014 1:08,6/1/2014 1:14,1,1,-73.994263,40.746361,1,N,-74.005051,40.740028,CRD,5.5,0.5,0.5,1,0,7.5,6/1/2014,1:08:37,19875,6/1/2014,1:14:00,19875,1:08:37,1:14:00
VTS,6/1/2014 20:16,6/1/2014 20:37,1,3.1099999,-73.982567,40.756737,1,,-73.995674,40.720901,CSH,15,0.5,0.5,0,0,16,6/1/2014,20:16:00,19875,6/1/2014,20:37:00,19875,20:16:00,20:37:00
VTS,6/1/2014 20:36,6/1/2014 21:03,1,5.3600001,-73.972969,40.759956,1,,-73.895508,40.727848,CRD,22,0.5,0.5,3,0,26,6/1/2014,20:36:00,19875,6/1/2014,21:03:00,19875,20:36:00,21:03:00
CMT,6/1/2014 20:15,6/1/2014 20:21,1,1.4,-73.984795,40.747948,1,N,-73.9842,40.761051,CSH,6.5,0.5,0.5,0,0,7.5,6/1/2014,20:15:55,19875,6/1/2014,20:21:45,19875,20:15:55,20:21:45
CMT,6/1/2014 19:56,6/1/2014 20:38,2,17.4,-73.786293,40.641991,2,N,-73.98156,40.755402,CRD,52,0,0.5,14.45,5.3299999,72.279999,6/1/2014,19:56:15,19875,6/1/2014,20:38:20,19875,19:56:15,20:38:20
CMT,6/1/2014 20:15,6/1/2014 20:27,1,1.7,-73.966949,40.757122,1,N,-73.991402,40.766232,CSH,9.5,0.5,0.5,0,0,10.5,6/1/2014,20:15:53,19875,6/1/2014,20:27:41,19875,20:15:53,20:27:41
CMT,6/1/2014 20:15,6/1/2014 20:40,1,3.8,-73.985092,40.779377,1,N,-74.007813,40.732788,CRD,18,0.5,0.5,3.8,0,22.799999,6/1/2014,20:15:52,19875,6/1/2014,20:40:07,19875,20:15:52,20:40:07
CMT,6/1/2014 20:15,6/1/2014 20:34,1,3.0999999,-73.973289,40.756371,1,N,-74.009094,40.745514,CRD,14.5,0.5,0.5,2,0,17.5,6/1/2014,20:15:49,19875,6/1/2014,20:34:54,19875,20:15:49,20:34:54
CMT,6/1/2014 20:15,6/1/2014 20:23,1,2,-73.972107,40.765373,1,N,-73.991798,40.74427,CRD,8,0.5,0.5,1.35,0,10.35,6/1/2014,20:15:47,19875,6/1/2014,20:23:13,19875,20:15:47,20:23:13
CMT,6/1/2014 20:15,6/1/2014 20:33,1,2.8,-74.001564,40.735962,1,Y,-73.972801,40.759144,CRD,13.5,0.5,0.5,2,0,16.5,6/1/2014,20:15:44,19875,6/1/2014,20:33:40,19875,20:15:44,20:33:40
CMT,6/1/2014 20:15,6/1/2014 20:28,1,3,-73.97612,40.776146,1,N,-73.990685,40.744316,CSH,12,0.5,0.5,0,0,13,6/1/2014,20:15:43,19875,6/1/2014,20:28:19,19875,20:15:43,20:28:19
VTS,6/1/2014 21:35,6/1/2014 22:10,2,10.91,-73.99073,40.750671,1,,-73.898087,40.852306,CSH,35,0.5,0.5,0,0,36,6/1/2014,21:35:00,19875,6/1/2014,22:10:00,19875,21:35:00,22:10:00
CMT,6/1/2014 17:27,6/1/2014 17:35,2,1.2,-73.999916,40.761345,1,N,-74.00264,40.749836,CSH,7.5,0,0.5,0,0,8,6/1/2014,17:27:30,19875,6/1/2014,17:35:38,19875,17:27:30,17:35:38
CMT,6/1/2014 20:15,6/1/2014 20:20,1,0.69999999,-73.983826,40.780624,1,N,-73.983788,40.773769,CRD,5,0.5,0.5,0.80000001,0,6.8000002,6/1/2014,20:15:38,19875,6/1/2014,20:20:18,19875,20:15:38,20:20:18
