vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount,pickup_datetime1,pickup_datetime2,pickup_date,dropoff_datetime1,dropoff_time,dropoff_date,pickup_time,pickup_hour,pickup_minutes,pickup_seconds,customer_id
VTS,6/1/2014 17:00,6/1/2014 17:10,1,2,-73.96382141,40.80308914,1,,-73.98381042,40.78084183,CRD,9.5,0,0.5,0,0,10,6/1/2014,17:00:00,19875,6/1/2014,17:10:00,19875,5:00:00 PM,17,0,0,47
VTS,6/1/2014 17:00,6/1/2014 17:19,1,3.210000038,-73.96399689,40.79782486,1,,-73.96736145,40.76330566,CSH,15,0,0.5,0,0,15.5,6/1/2014,17:00:00,19875,6/1/2014,17:19:00,19875,5:00:00 PM,17,0,0,48
VTS,6/1/2014 17:00,6/1/2014 17:05,1,1.879999995,-73.96601105,40.76210403,1,,-73.94937134,40.78515625,CSH,7,0,0.5,0,0,7.5,6/1/2014,17:00:00,19875,6/1/2014,17:05:00,19875,5:00:00 PM,17,0,0,49
VTS,6/1/2014 17:00,6/1/2014 17:05,1,1.429999948,-73.96777344,40.76012802,1,,-73.95355988,40.77532578,CRD,7,0,0.5,1.399999976,0,8.899999619,6/1/2014,17:00:00,19875,6/1/2014,17:05:00,19875,5:00:00 PM,17,0,0,50
VTS,6/1/2014 17:00,6/1/2014 17:18,1,1.789999962,-73.96781158,40.80286026,1,,-73.98191071,40.7792511,CSH,13,0,0.5,0,0,13.5,6/1/2014,17:00:00,19875,6/1/2014,17:18:00,19875,5:00:00 PM,17,0,0,51
VTS,6/1/2014 17:00,6/1/2014 17:08,1,2.329999924,-73.96790314,40.75949097,1,,-73.95166779,40.78204727,CSH,9.5,0,0.5,0,0,10,6/1/2014,17:00:00,19875,6/1/2014,17:08:00,19875,5:00:00 PM,17,0,0,52
VTS,6/1/2014 17:00,6/1/2014 17:05,1,1.340000033,-73.96903992,40.75412369,1,,-73.95884705,40.76646423,CSH,6.5,0,0.5,0,0,7,6/1/2014,17:00:00,19875,6/1/2014,17:05:00,19875,5:00:00 PM,17,0,0,53
VTS,6/1/2014 17:00,6/1/2014 17:21,1,4.03000021,-73.9704895,40.79399109,1,,-73.97360229,40.75476074,CRD,17.5,0,0.5,4,0,22,6/1/2014,17:00:00,19875,6/1/2014,17:21:00,19875,5:00:00 PM,17,0,0,54
VTS,6/1/2014 17:00,6/1/2014 17:11,1,1.340000033,-73.97057343,40.67487335,1,,-73.98400879,40.67201614,CRD,9,0,0.5,2,0,11.5,6/1/2014,17:00:00,19875,6/1/2014,17:11:00,19875,5:00:00 PM,17,0,0,55
VTS,6/1/2014 17:00,6/1/2014 17:07,1,1.679999948,-73.97160339,40.76285553,1,,-73.9775238,40.77941513,CSH,8,0,0.5,0,0,8.5,6/1/2014,17:00:00,19875,6/1/2014,17:07:00,19875,5:00:00 PM,17,0,0,56
VTS,6/1/2014 17:00,6/1/2014 17:03,1,0.600000024,-73.97223663,40.79143143,1,,-73.96586609,40.79521561,CSH,4,0,0.5,0,0,4.5,6/1/2014,17:00:00,19875,6/1/2014,17:03:00,19875,5:00:00 PM,17,0,0,57
VTS,6/1/2014 17:00,6/1/2014 17:03,2,0.899999976,-73.97240448,40.78199005,1,,-73.9601593,40.77538681,CSH,5,0,0.5,0,0,5.5,6/1/2014,17:00:00,19875,6/1/2014,17:03:00,19875,5:00:00 PM,17,0,0,58
VTS,6/1/2014 17:00,6/1/2014 17:15,1,2.49000001,-73.97242737,40.78406525,1,,-73.9688797,40.75844574,CSH,12,0,0.5,0,0,12.5,6/1/2014,17:00:00,19875,6/1/2014,17:15:00,19875,5:00:00 PM,17,0,0,59
VTS,6/1/2014 17:00,6/1/2014 17:05,1,0.620000005,-73.97245789,40.7650032,1,,-73.98210144,40.76836014,CSH,5.5,0,0.5,0,0,6,6/1/2014,17:00:00,19875,6/1/2014,17:05:00,19875,5:00:00 PM,17,0,0,60
VTS,6/1/2014 17:00,6/1/2014 17:16,1,4.920000076,-73.97257996,40.79346085,1,,-73.93839264,40.85042191,CSH,17,0,0.5,0,0,17.5,6/1/2014,17:00:00,19875,6/1/2014,17:16:00,19875,5:00:00 PM,17,0,0,61
VTS,6/1/2014 17:00,6/1/2014 17:51,1,17.5,-73.97301483,40.76443863,2,,-73.78334808,40.64384079,CSH,52,0,0.5,0,5.329999924,57.83000183,6/1/2014,17:00:00,19875,6/1/2014,17:51:00,19875,5:00:00 PM,17,0,0,62
VTS,6/1/2014 17:00,6/1/2014 17:17,2,2.24000001,-73.9751358,40.75678253,1,,-74.00248718,40.75524521,CRD,12.5,0,0.5,3.119999886,0,16.12000084,6/1/2014,17:00:00,19875,6/1/2014,17:17:00,19875,5:00:00 PM,17,0,0,63
VTS,6/1/2014 17:00,6/1/2014 17:38,1,3.309999943,-73.97530365,40.751091,1,,-73.96572876,40.7593956,CRD,18,0,0.5,22,0,40.5,6/1/2014,17:00:00,19875,6/1/2014,17:38:00,19875,5:00:00 PM,17,0,0,64
VTS,6/1/2014 17:00,6/1/2014 17:39,2,16.10000038,-73.9753418,40.74636078,2,,-73.78317261,40.64385986,CSH,52,0,0.5,0,5.329999924,57.83000183,6/1/2014,17:00:00,19875,6/1/2014,17:39:00,19875,5:00:00 PM,17,0,0,65
VTS,6/1/2014 17:00,6/1/2014 17:17,3,2.450000048,-73.97543335,40.78196716,1,,-73.9691391,40.76108551,CRD,13,0,0.5,1,0,14.5,6/1/2014,17:00:00,19875,6/1/2014,17:17:00,19875,5:00:00 PM,17,0,0,66
VTS,6/1/2014 17:00,6/1/2014 17:22,6,3.930000067,-73.97570801,40.78158188,1,,-73.98825836,40.736866,CSH,17.5,0,0.5,0,0,18,6/1/2014,17:00:00,19875,6/1/2014,17:22:00,19875,5:00:00 PM,17,0,0,67
VTS,6/1/2014 17:00,6/1/2014 17:05,1,0.74000001,-73.97575378,40.73010635,1,,-73.97575378,40.73010635,CRD,5.5,0,0.5,1.379999995,0,7.380000114,6/1/2014,17:00:00,19875,6/1/2014,17:05:00,19875,5:00:00 PM,17,0,0,68
