customer_id,pickup_date,pickup_time,pickup_latitude,pickup_longitude,passenger_count,dropoff_date,dropoff_time,dropoff_latitude,dropoff_longitude,trip_distance,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
80,6/1/2014,8:06:06,40.75606918,-73.98090363,1,6/1/2014,8:50:51,40.77270126,-73.86955261,9.5,27.5,0,0.5,0,0,28
81,6/1/2014,8:06:13,40.71759796,-73.99102783,1,6/1/2014,8:09:59,40.72237778,-73.98059845,0.899999976,5,0,0.5,1.100000024,0,6.599999905
82,6/1/2014,8:06:28,40.67061996,-73.95752716,1,6/1/2014,8:22:53,40.74006653,-73.99476624,6,19.5,0,0.5,4,0,24
83,6/1/2014,8:06:34,40.75566864,-73.99176025,2,6/1/2014,8:17:31,40.73539734,-73.97948456,2.400000095,10.5,0,0.5,1,0,12
84,6/1/2014,8:06:40,40.7398262,-74.00706482,1,6/1/2014,8:33:21,40.6444664,-73.78167725,18.5,52,0,0.5,11.55000019,5.329999924,69.37999725
85,6/1/2014,8:06:49,40.79684448,-73.96102905,1,6/1/2014,8:08:33,40.79188538,-73.96498108,0.400000006,3.5,0,0.5,0,0,4
86,6/1/2014,8:06:57,40.74826431,-73.98184967,1,6/1/2014,8:23:02,40.72235489,-73.94100952,5.599999905,19,0,0.5,0,0,19.5
87,6/1/2014,8:07:00,40.8333931,-73.94548035,6,6/1/2014,8:13:00,40.80715179,-73.96469879,2.460000038,9,0,0.5,1.799999952,0,11.30000019
88,6/1/2014,8:07:00,40.76418686,-73.95877838,1,6/1/2014,8:16:00,40.76549149,-73.92488098,3.5,12,0,0.5,0,0,12.5
89,6/1/2014,8:07:00,40.76501083,-73.97463226,1,6/1/2014,8:11:00,40.75347519,-73.97523499,1.169999957,5.5,0,0.5,0,0,6
90,6/1/2014,8:07:00,40.78382874,-73.98001099,2,6/1/2014,8:16:00,40.84220505,-73.94197845,5.110000134,16,0,0.5,3,0,19.5
91,6/1/2014,8:07:00,40.73347092,-73.98715973,1,6/1/2014,8:13:00,40.77042389,-73.96016693,3,10,0,0.5,2,0,12.5
92,6/1/2014,8:07:00,40.70796585,-74.00637054,2,6/1/2014,8:25:00,40.78230286,-73.97136688,9.409999847,27.5,0,0.5,5,0,33
93,6/1/2014,8:07:11,40.7466011,-73.89810181,1,6/1/2014,8:32:01,40.76326752,-73.96504211,4.599999905,3.5,0,0.5,0,0,4
94,6/1/2014,8:07:18,40.75093079,-73.97137451,1,6/1/2014,8:17:44,40.73278427,-73.99809265,2.599999905,10.5,0,0.5,2,0,13
95,6/1/2014,8:07:27,40.72237396,-73.98414612,1,6/1/2014,8:29:57,40.64751053,-73.78707886,17.29999924,52,0,0.5,10.5,0,63
96,6/1/2014,8:07:40,40.74763107,-74.0035553,1,6/1/2014,8:17:35,40.76343536,-73.97147369,2.700000048,10.5,0,0.5,1,0,12
97,6/1/2014,8:07:51,40.76062012,-73.96702576,2,6/1/2014,8:19:20,40.76493835,-73.97902679,0.899999976,8,0,0.5,2.549999952,0,11.05000019
98,6/1/2014,8:08:00,40.76763153,-73.91201782,1,6/1/2014,8:22:00,40.75173187,-73.97667694,4.929999828,16.5,0,0.5,3,0,20
99,6/1/2014,8:08:00,40.7567482,-73.97534943,1,6/1/2014,8:27:00,40.76848221,-73.86186218,11.10999966,31.5,0,0.5,0,5.329999924,37.33000183
100,6/1/2014,8:08:00,40.76029587,-73.98427582,1,6/1/2014,8:32:00,40.77390671,-73.87106323,10.10000038,30.5,0,0.5,7.170000076,5.329999924,43.5
