customer_id,pickup_date,pickup_time,pickup_latitude,pickup_longitude,passenger_count,dropoff_date,dropoff_time,dropoff_latitude,dropoff_longitude,trip_distance,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
97,2014-06-04,08:00:00,40.78442001,-73.97975922,1,2014-06-04,08:25:00,40.75102997,-73.9679718,3.380000114,17.5,0,0.5,0,0,18
98,2014-06-04,08:00:00,40.77410126,-73.98059082,1,2014-06-04,08:05:00,40.75997925,-73.98558807,1.059999943,6,0,0.5,1,0,7.5
99,2014-06-04,08:00:00,40.73388672,-73.98062134,1,2014-06-04,08:08:00,40.73731232,-73.99649048,1.100000024,7,0,0.5,1.399999976,0,8.899999619
100,2014-06-04,08:00:00,40.78282166,-73.98073578,2,2014-06-04,08:13:00,40.78360748,-73.95490265,2.25,11,0,0.5,0,0,11.5
101,2014-06-04,08:00:00,40.76444626,-73.98119354,1,2014-06-04,08:26:00,40.72104263,-73.99352264,3.710000038,18.5,0,0.5,3.700000048,0,22.70000076
102,2014-06-04,08:00:00,40.73671341,-73.98175812,2,2014-06-04,08:08:00,40.74599457,-73.99050903,1.059999943,7,0,0.5,1,0,8.5
103,2014-06-04,08:00:00,40.7468605,-73.98197174,1,2014-06-04,08:07:00,40.75937271,-73.97492218,1.100000024,6.5,0,0.5,1.299999952,0,8.300000191
104,2014-06-04,08:00:00,40.77322769,-73.98220825,5,2014-06-04,08:14:00,40.8065567,-73.9649353,2.660000086,12.5,0,0.5,2.5,0,15.5
105,2014-06-04,08:00:00,40.66057587,-73.98229218,5,2014-06-04,08:06:00,40.66727829,-73.9845047,0.879999995,5.5,0,0.5,0,0,6
106,2014-06-04,08:00:00,40.7485733,-73.98259735,1,2014-06-04,08:24:00,40.71127319,-74.01542664,4.630000114,19,0,0.5,4.75,0,24.25
107,2014-06-04,08:00:00,40.76749039,-73.9826889,1,2014-06-04,08:10:00,40.76643753,-73.96665192,1.169999957,8,0,0.5,0,0,8.5
108,2014-06-04,08:00:00,40.76447296,-73.9826889,1,2014-06-04,08:07:00,40.75386047,-73.97759247,1.090000033,7,0,0.5,1.399999976,0,8.899999619
109,2014-06-04,08:00:00,40.77991104,-73.98274994,5,2014-06-04,08:06:00,40.76960373,-73.98451996,1.029999971,6,0,0.5,1.200000048,0,7.699999809
110,2014-06-04,08:00:00,40.77412033,-73.98288727,1,2014-06-04,08:16:00,40.79637527,-73.97384644,1.809999943,9.5,0,0.5,0,0,10
111,2014-06-04,08:00:00,40.73776245,-73.98293304,1,2014-06-04,08:13:00,40.76384354,-73.95432281,2.910000086,11,0,0.5,0,0,11.5
112,2014-06-04,08:00:00,40.73874283,-73.98316193,1,2014-06-04,08:19:00,40.71826172,-74.01062012,3.329999924,15,0,0.5,0,0,15.5
113,2014-06-04,08:00:00,40.74730682,-73.98356628,2,2014-06-04,08:39:00,40.65875244,-73.80696869,14.60000038,52,0,0.5,14.32999992,5.329999924,72.16000366
114,2014-06-04,08:00:00,40.76586533,-73.98387909,1,2014-06-04,08:09:00,40.79050064,-73.9730072,2.119999886,8.5,0,0.5,1,0,10
115,2014-06-04,08:00:00,40.76987839,-73.98395538,1,2014-06-04,08:14:00,40.75368881,-73.97457886,1.830000043,10,0,0.5,0,0,10.5
116,2014-06-04,08:00:00,40.76721954,-73.98410797,4,2014-06-04,08:19:00,40.71136856,-74.01472473,4.860000134,18,0,0.5,4.5,0,23
117,2014-06-04,08:00:00,40.74416733,-73.98413086,1,2014-06-04,08:44:00,40.64394379,-73.7829361,16.59000015,52,0,0.5,0,5.329999924,57.83000183
118,2014-06-04,08:00:00,40.74492264,-73.98413849,1,2014-06-04,08:05:00,40.73994827,-73.99152374,0.639999986,5.5,0,0.5,1.100000024,0,7.099999905
119,2014-06-04,08:00:00,40.75982666,-73.98419189,1,2014-06-04,08:32:00,40.77399826,-73.87076569,11.19999981,35,0,0.5,0,5.329999924,40.83000183
